Name and address,Area,Facilities,Opening hours,Nearest alternative
Bartholomew House (Bartholomew Square),Brighton (BN1 1JP),Accessible toilet,Business hours,Lower Prom at West street Kings Road
Brighton Museum (Royal Pavilion Gardens),Brighton (BN1 1EE),Accessible toilet,Business hours,Royal Pavilion Gardens
